Run,horizonMSE,positionMSE,velocityMSE,totalMSE,finalMaxError,triggerRate,ffAcceptanceRate,lfAcceptanceRate,ffFalseRejectionRate,lfFalseRejectionRate,ffLeakageRate,lfLeakageRate,maxCouplingGain,cpuTime
27,0.450269452706599,1.91547361136625e-05,3.56954447854397e-05,5.48501808991022e-05,0.00507888618683675,0.0567582570080488,0.884313725490196,0.927385892116183,0,0,0,0,5.11563998912812,0.3187711
28,0.946377781920002,0.37560073491759,0.000124004104064349,0.375724739021655,1.22112128165536,0.0613377740771579,0.757352941176471,0.904564315352697,0.146997929606625,0,0,0,5.53089392739243,0.3170246
29,0.502964575350858,1.80526917205752e-05,2.0795346843101e-05,3.88480385636763e-05,0.00384840944579568,0.0514848737163475,0.876484560570071,0.909405255878285,0,0,0,0,4.36236358656684,0.3130622
30,0.714993713431423,5.85137779197292e-05,3.55466140496416e-05,9.40603919693708e-05,0.00716994837187723,0.0836802664446295,0.876984126984127,0.917704011065007,0.0045045045045045,0,0,0,7.71297661053893,0.3280605
31,0.879322110109169,1.51408698350721e-05,2.38535906123536e-05,3.89944604474257e-05,0.00275039112302029,0.0757701915070774,0.899665551839465,0.927385892116183,0,0,0,0,7.93654681976224,0.3295736
32,1.16982645672977,3.06910330253247e-05,2.3878677232468e-05,5.45697102577927e-05,0.00371250939205035,0.0802109353316681,0.897058823529412,0.918395573997234,0,0,0.0140845070422535,0,5.82137581388815,0.3595087
33,0.948580218824076,0.324492428852197,3.27367893668704e-05,0.324525165641564,0.989126774391918,0.0827088537330003,0.799377916018662,0.928077455048409,0.107826086956522,0,0.0147058823529412,0,8.1987352478227,0.3296539
34,0.268257777610334,1.36450582045634e-05,2.15882405231793e-05,3.52332987277427e-05,0.00412692495805742,0.058007216208715,0.917670682730924,0.919087136929461,0,0,0,0,5.54245091092377,0.3147948
35,0.459406129885502,1.99658719514647e-05,3.14833525846177e-05,5.14492245360824e-05,0.0062971407150306,0.0571745767416042,0.882352941176471,0.930843706777317,0,0,0,0,6.49007763208562,0.3108821
36,0.525241520877592,3.22769830748238e-05,2.34168083660672e-05,5.5693791440891e-05,0.00283206044572981,0.0634193727449348,0.900188323917137,0.916320885200553,0,0,0,0,5.6310122771397,0.3318585
37,0.825521632013597,2.87144712790297e-05,2.51430910420127e-05,5.38575623210424e-05,0.00421008791719479,0.0734110463502637,0.894812680115274,0.927385892116183,0,0,0,0,6.95897886796285,0.3197604
38,0.404438359271013,1.1072118796942e-05,2.30124886788132e-05,3.40846074757552e-05,0.0043792028236908,0.0714682209270053,0.915441176470588,0.904564315352697,0,0,0,0,7.18403186096614,0.3499821
39,0.506919298224033,1.53542669140054e-05,2.20296988065715e-05,3.73839657205769e-05,0.00336771537488689,0.0721620871495976,0.892531876138434,0.906639004149378,0,0,0,0,6.75421215375624,0.3349745
40,0.393695527444591,1.54467031009334e-05,2.3580282682986e-05,3.90269857839194e-05,0.00351302443913374,0.0660560643907855,0.899803536345776,0.924619640387275,0,0,0,0,6.06778906525844,0.3190903
41,0.557272227080221,1.72893030636016e-05,2.24743773463682e-05,3.97636804099698e-05,0.0031737167557521,0.06744379683597,0.910189982728843,0.926002766251729,0,0,0,0,6.19269916275169,0.3172433
42,0.91410564917323,2.78571658537751e-05,2.96726571186179e-05,5.75298229723931e-05,0.00505118312579728,0.0921454343602553,0.896253602305475,0.923236514522822,0,0,0,0,8.2106735254831,0.3322025
43,1.08688895578442,2.32603225060657e-05,2.74299211124554e-05,5.06902436185212e-05,0.00368386429230361,0.0797946155981127,0.905343511450382,0.914246196403873,0,0,0,0,6.84737336427589,0.32654
44,0.679856976981169,1.33912426615142e-05,2.28314406177887e-05,3.62226832793029e-05,0.00328165590726104,0.0655009714127116,0.923933209647495,0.921161825726141,0,0,0,0,5.6180793645774,0.3215403
45,0.380656265219065,2.58746484101198e-05,2.52106568836039e-05,5.10853052937237e-05,0.00348463954954496,0.0691090757701915,0.890784982935154,0.919778699861687,0,0,0,0,6.28417212010542,0.3607008
46,0.397058445190835,2.17058697034402e-05,2.76223625470112e-05,4.93282322504514e-05,0.00365262284432097,0.0564807105190119,0.927601809954751,0.928769017980636,0,0,0,0,6.23743603712259,0.3258789
